ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780584231.164,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780584231.664,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780584232.164,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584232.664,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584233.164,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584233.665,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584234.164,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584234.664,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584235.164,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584235.664,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584236.164,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584236.664,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584237.167,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780584237.664,1,TAKEOFF,6.9,-1.0,0.441,99.9,TAKEOFF,8.1,-1.0,0.431,100.0
1780584238.164,1,TAKEOFF,6.9,-1.0,0.849,99.9,TAKEOFF,8.1,-1.0,0.839,99.9
1780584238.664,1,TAKEOFF,6.9,-1.0,1.281,99.8,TAKEOFF,8.1,-1.0,1.271,99.8
1780584239.164,1,TAKEOFF,6.9,-1.0,1.713,99.7,TAKEOFF,8.1,-1.0,1.703,99.7
1780584239.664,1,TAKEOFF,6.9,-1.0,2.193,99.6,TAKEOFF,8.1,-1.0,2.17,99.6
1780584240.164,1,TAKEOFF,6.9,-1.0,2.601,99.5,TAKEOFF,8.1,-1.0,2.431,99.5
1780584240.664,1,TAKEOFF,6.9,-1.0,3.081,99.4,TAKEOFF,8.1,-1.0,2.604,99.5
1780584241.164,1,TAKEOFF,6.9,-1.0,3.467,99.4,SURVEY 0%,7.508,-0.537,2.689,99.4
1780584241.664,1,TAKEOFF,6.9,-1.0,3.707,99.3,SURVEY 0%,6.748,-0.145,2.739,99.3
1780584242.164,1,SURVEY 0%,6.748,-0.866,3.845,99.2,SURVEY 0%,5.948,0.108,2.768,99.2
1780584242.665,1,SURVEY 0%,5.988,-0.35,3.915,99.1,SURVEY 0%,5.188,0.256,2.782,99.1
1780584243.164,1,SURVEY 0%,5.268,-0.042,3.952,99.0,SURVEY 0%,4.468,0.344,2.79,99.0
1780584243.664,1,SURVEY 0%,4.508,0.162,3.973,98.9,SURVEY 0%,3.708,0.403,2.794,99.0
1780584244.164,1,SURVEY 0%,3.868,0.273,3.984,98.9,SURVEY 0%,3.068,0.435,2.797,98.9
1780584244.665,1,SURVEY 0%,3.108,0.359,3.991,98.8,SURVEY 0%,2.348,0.459,2.798,98.8
1780584245.164,1,SURVEY 0%,2.379,0.412,3.995,98.7,SURVEY 0%,1.866,0.475,2.799,98.7
1780584245.664,1,SURVEY 0%,1.888,0.445,3.997,98.6,SURVEY 0%,1.578,0.484,2.799,98.6
1780584246.164,1,SURVEY 0%,1.606,0.464,3.998,98.5,SURVEY 0%,1.395,0.641,2.8,98.5
1780584246.664,1,SURVEY 7%,1.413,0.619,3.999,98.4,SURVEY 7%,1.279,1.361,2.8,98.4
1780584247.164,1,SURVEY 7%,1.285,1.379,4.0,98.4,SURVEY 7%,1.2,2.121,2.8,98.4
1780584247.664,1,SURVEY 7%,1.211,2.059,4.0,98.3,SURVEY 7%,1.156,2.801,2.8,98.3
1780584248.164,1,SURVEY 7%,1.156,2.859,4.0,98.2,SURVEY 7%,1.123,3.601,2.8,98.2
1780584248.664,1,SURVEY 7%,1.127,3.539,4.0,98.1,SURVEY 7%,1.105,4.281,2.8,98.1
1780584249.166,1,SURVEY 7%,1.109,4.179,4.0,98.0,SURVEY 7%,1.094,4.921,2.8,98.0
1780584249.664,1,SURVEY 7%,1.095,4.899,4.0,97.9,SURVEY 7%,1.086,5.641,2.8,98.0
1780584250.164,1,SURVEY 7%,1.087,5.619,4.0,97.9,SURVEY 7%,1.081,6.361,2.8,97.9
1780584250.664,1,SURVEY 7%,1.081,6.419,4.0,97.8,SURVEY 7%,1.077,7.161,2.8,97.8
1780584251.164,1,SURVEY 7%,1.077,7.179,4.0,97.7,SURVEY 7%,1.075,7.921,2.8,97.7
1780584251.664,1,SURVEY 7%,1.075,7.979,4.0,97.6,SURVEY 7%,1.074,8.721,2.8,97.6
1780584252.164,1,SURVEY 7%,1.073,8.859,4.0,97.5,SURVEY 7%,1.073,9.601,2.8,97.5
1780584252.664,1,SURVEY 7%,1.073,9.619,4.0,97.4,SURVEY 7%,1.072,10.361,2.8,97.4
1780584253.164,1,SURVEY 7%,1.072,10.299,4.0,97.4,SURVEY 7%,1.072,11.041,2.8,97.4
1780584253.664,1,SURVEY 7%,1.072,10.899,4.0,97.3,SURVEY 7%,1.072,11.641,2.8,97.3
1780584254.164,1,SURVEY 7%,1.072,11.619,4.0,97.2,SURVEY 7%,1.072,12.361,2.8,97.2
1780584254.664,1,SURVEY 7%,1.072,12.379,4.0,97.1,SURVEY 7%,1.072,13.103,2.8,97.1
1780584255.164,1,SURVEY 7%,1.072,13.087,4.0,97.0,SURVEY 7%,1.072,13.609,2.8,97.0
1780584255.665,1,SURVEY 7%,1.072,13.55,4.0,96.9,SURVEY 7%,1.071,13.901,2.8,96.9
1780584256.164,1,SURVEY 7%,1.071,13.862,4.0,96.9,SURVEY 7%,1.071,14.097,2.8,96.9
1780584256.664,1,SURVEY 7%,1.071,14.082,4.0,96.8,SURVEY 14%,1.615,14.236,2.8,96.8
1780584257.164,1,SURVEY 14%,1.543,14.226,4.0,96.7,SURVEY 14%,2.166,14.327,2.8,96.7
