ts,day,run_id,drone,state,x,y,z,batt,alt_fault,alt_envelope,vspeed,hspeed,batt_jump,sensor_dropout,iso_anomaly,iso_score
1779901653.969,5,stage16_20260528_010732,D1,IDLE,8.1,-1.0,0.1,100.0,False,False,False,True,False,False,False,0.6486522048001065
1779902244.777,5,stage16_20260528_011723,D1,IDLE,8.1,-1.0,0.1,100.0,False,False,False,True,False,False,True,0.6826276677982138
1779903168.342,5,stage16_20260528_012421,D0,GOTO_FLOWER,6.347,-0.441,0.868,100.0,False,False,False,False,True,False,False,0.6231409228324297
1779903169.341,5,stage16_20260528_012421,D0,GOTO_FLOWER,4.867,1.039,1.608,99.8,False,False,False,False,False,False,True,0.6824801848942978
1779902662.841,5,stage16_20260528_012421,D1,IDLE,8.1,-1.0,0.1,100.0,False,False,False,True,False,False,False,0.6486522048001065
1779903182.341,5,stage16_20260528_012421,D1,GOTO_FLOWER,7.628,-0.521,0.827,99.9,False,False,False,False,True,False,False,0.6054177670637787
1779903533.502,5,stage16_20260528_013852,D1,IDLE,8.1,-1.0,0.1,100.0,False,False,False,True,False,False,False,0.6486522048001065
1779903928.464,5,stage16_20260528_014527,D0,IDLE,6.9,-1.0,0.1,100.0,False,False,False,True,False,False,False,0.6486522048001065
1779904434.964,5,stage16_20260528_014527,D0,GOTO_FLOWER,7.85,-0.123,1.05,100.0,False,False,False,False,True,False,False,0.6477188750453875
1779903928.464,5,stage16_20260528_014527,D1,IDLE,8.1,-1.0,0.1,100.0,False,False,False,True,False,False,False,0.6486522048001065
1779904435.464,5,stage16_20260528_014527,D1,GOTO_FLOWER,8.499,-0.628,0.782,100.0,False,False,False,False,True,False,False,0.591540287927683
1780028691.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.537,56.3,False,True,False,False,False,False,False,0.39886436543338866
1780028692.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.591,56.2,False,True,False,False,False,False,False,0.3994984514974025
1780028692.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.642,56.1,False,True,False,False,False,False,False,0.39963362195232116
1780028693.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.69,56.0,False,True,False,False,False,False,False,0.3977354103741188
1780028693.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.744,55.9,False,True,False,False,False,False,False,0.3982035267524923
1780028694.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.792,55.9,False,True,False,False,False,False,False,0.41031298050570447
1780028694.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.84,55.8,False,True,False,False,False,False,False,0.39678147645815326
1780028695.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.894,55.7,False,True,False,False,False,False,False,0.40026882269402764
1780028695.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.945,55.6,False,True,False,False,False,False,False,0.3998868921489128
1780028696.003,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,4.996,55.5,False,True,False,False,False,False,False,0.4833801372207236
1780028696.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.044,55.4,False,True,False,False,False,False,False,0.4835603159304219
1780028697.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.089,55.4,False,True,False,False,False,False,False,0.41054670171776303
1780028697.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.14,55.3,False,True,False,False,False,False,False,0.3998868921489128
1780028698.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.194,55.2,False,True,False,False,False,False,False,0.4006212475806023
1780028698.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.242,55.1,False,True,False,False,False,False,False,0.3992902322888376
1780028699.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.296,55.0,False,True,False,False,False,False,False,0.40045764621518987
1780028699.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.35,54.9,False,True,False,False,False,False,False,0.40045764621518987
1780028700.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.404,54.9,False,True,False,False,False,False,False,0.41295083334325994
1780028700.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.458,54.8,False,True,False,False,False,False,False,0.40045764621518987
1780028701.003,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.518,54.7,False,True,False,False,False,False,False,0.4857233059326559
1780028701.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.569,54.6,False,True,False,False,False,False,False,0.48322938775692503
1780028702.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.623,54.5,False,True,False,False,False,False,False,0.3987798532676832
1780028702.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.671,54.4,False,True,False,False,False,False,False,0.39761733044247727
1780028703.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.725,54.4,False,True,False,False,False,False,False,0.4123020477376463
1780028703.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.782,54.3,False,True,False,False,False,False,False,0.4019666189180794
1780028704.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.83,54.2,False,True,False,False,False,False,False,0.4002302943160938
1780028704.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.881,54.1,False,True,False,False,False,False,False,0.40066467296865893
1780028705.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.935,54.0,False,True,False,False,False,False,False,0.4029344264412581
1780028705.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,5.983,53.9,False,True,False,False,False,False,False,0.40299257808410577
1780028706.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.034,53.9,True,False,False,False,False,False,False,0.4141749160986633
1780028706.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.088,53.8,True,False,False,False,False,False,False,0.4041708166429986
1780028707.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.139,53.7,True,False,False,False,False,False,False,0.4034299547033871
1780028707.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.196,53.6,True,False,False,False,False,False,False,0.4047427624761246
1780028708.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.247,53.5,True,False,False,False,False,False,False,0.4035509888135143
1780028708.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.31,53.4,True,False,False,False,False,False,False,0.40610829070359544
1780028709.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.361,53.4,True,False,False,False,False,False,False,0.4135277614965939
1780028709.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.415,53.3,True,False,False,False,False,False,False,0.40494209580055673
1780028710.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.463,53.2,True,False,False,False,False,False,False,0.4037616088090565
1780028710.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.514,53.1,True,False,False,False,False,False,False,0.40278357836377465
1780028711.004,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.568,53.0,True,False,False,False,False,False,False,0.4035232532927959
1780028711.504,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.619,52.9,True,False,False,False,False,False,False,0.40278357836377465
1780028712.003,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.667,52.9,True,False,False,False,False,False,False,0.47949290121943566
1780028712.503,5,stage16_20260529_122019,D0,ASCEND_GENTLE,12.167,7.924,6.724,52.8,True,False,False,False,False,False,False,0.40509627741005233
