ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780734995.315,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734995.816,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734996.315,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734996.815,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734997.315,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734997.815,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734998.315,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734998.815,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780734999.315,1,IDLE,9.4,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1780734999.815,1,IDLE,9.4,-1.0,0.1,100.0,IDLE,10.6,-1.0,0.1,100.0
1780735000.315,1,IDLE,9.4,-1.0,0.1,100.0,IDLE,10.6,-1.0,0.1,100.0
1780735000.815,1,IDLE,9.4,-1.0,0.1,100.0,IDLE,10.6,-1.0,0.1,100.0
1780735001.316,1,IDLE,9.4,-1.0,0.1,100.0,IDLE,10.6,-1.0,0.1,100.0
1780735001.815,1,TAKEOFF,9.4,-1.0,0.494,100.0,TAKEOFF,10.6,-1.0,0.498,99.9
1780735002.315,1,TAKEOFF,9.4,-1.0,0.926,99.9,TAKEOFF,10.6,-1.0,0.93,99.8
1780735002.815,1,TAKEOFF,9.4,-1.0,1.382,99.8,TAKEOFF,10.6,-1.0,1.386,99.8
1780735003.315,1,TAKEOFF,9.4,-1.0,1.838,99.7,TAKEOFF,10.6,-1.0,1.842,99.7
1780735003.815,1,TAKEOFF,9.4,-1.0,2.198,99.7,TAKEOFF,10.6,-1.0,2.202,99.6
1780735004.315,1,TAKEOFF,9.4,-1.0,2.534,99.6,TAKEOFF,10.6,-1.0,2.538,99.5
1780735004.815,1,TAKEOFF,9.4,-1.0,2.87,99.5,TAKEOFF,10.6,-1.0,2.874,99.4
1780735005.315,1,TAKEOFF,9.4,-1.0,3.299,99.4,TAKEOFF,10.6,-1.0,3.303,99.3
1780735005.815,1,TAKEOFF,9.4,-1.0,3.548,99.3,TAKEOFF,10.6,-1.0,3.551,99.2
1780735006.315,1,TAKEOFF,9.4,-1.0,3.735,99.2,TAKEOFF,10.6,-1.0,3.736,99.2
1780735006.815,1,TAKEOFF,9.192,-0.819,3.849,99.2,SURVEY 0%,10.576,-0.813,3.85,99.1
1780735007.315,1,SURVEY 0%,8.432,-0.323,3.917,99.1,SURVEY 0%,10.514,-0.317,3.917,99.0
1780735007.815,1,SURVEY 0%,7.752,-0.039,3.951,99.0,SURVEY 0%,10.478,-0.035,3.952,98.9
1780735008.315,1,SURVEY 0%,7.152,0.128,3.969,98.9,SURVEY 10%,10.457,0.131,3.97,98.8
1780735008.815,1,SURVEY 0%,6.432,0.262,3.983,98.8,SURVEY 10%,10.44,0.845,3.983,98.7
1780735009.315,1,SURVEY 0%,5.712,0.348,3.99,98.7,SURVEY 10%,10.429,1.565,3.99,98.7
